VariableName,Value
"y_(1,_datetime.date(2022,_7,_24))",1.0
"y_(10,_datetime.date(2022,_7,_24))",1.0
"y_(11,_datetime.date(2022,_7,_24))",1.0
"y_(12,_datetime.date(2022,_7,_24))",1.0
"y_(13,_datetime.date(2022,_7,_24))",1.0
"y_(14,_datetime.date(2022,_7,_24))",1.0
"y_(15,_datetime.date(2022,_7,_24))",1.0
"y_(16,_datetime.date(2022,_7,_24))",1.0
"y_(17,_datetime.date(2022,_7,_24))",1.0
"y_(18,_datetime.date(2022,_7,_24))",1.0
"y_(19,_datetime.date(2022,_7,_24))",1.0
"y_(2,_datetime.date(2022,_7,_24))",1.0
"y_(20,_datetime.date(2022,_7,_24))",1.0
"y_(21,_datetime.date(2022,_7,_24))",1.0
"y_(22,_datetime.date(2022,_7,_24))",1.0
"y_(23,_datetime.date(2022,_7,_24))",1.0
"y_(24,_datetime.date(2022,_7,_24))",1.0
"y_(25,_datetime.date(2022,_7,_24))",1.0
"y_(26,_datetime.date(2022,_7,_24))",1.0
"y_(27,_datetime.date(2022,_7,_24))",1.0
"y_(28,_datetime.date(2022,_7,_24))",1.0
"y_(29,_datetime.date(2022,_7,_24))",1.0
"y_(3,_datetime.date(2022,_7,_24))",1.0
"y_(30,_datetime.date(2022,_7,_24))",1.0
"y_(31,_datetime.date(2022,_7,_24))",1.0
"y_(32,_datetime.date(2022,_7,_24))",1.0
"y_(33,_datetime.date(2022,_7,_24))",1.0
"y_(34,_datetime.date(2022,_7,_24))",1.0
"y_(35,_datetime.date(2022,_7,_24))",1.0
"y_(36,_datetime.date(2022,_7,_24))",1.0
"y_(37,_datetime.date(2022,_7,_24))",1.0
"y_(38,_datetime.date(2022,_7,_24))",1.0
"y_(39,_datetime.date(2022,_7,_24))",1.0
"y_(4,_datetime.date(2022,_7,_24))",1.0
"y_(40,_datetime.date(2022,_7,_24))",1.0
"y_(41,_datetime.date(2022,_7,_24))",1.0
"y_(42,_datetime.date(2022,_7,_24))",1.0
"y_(43,_datetime.date(2022,_7,_24))",1.0
"y_(44,_datetime.date(2022,_7,_24))",1.0
"y_(45,_datetime.date(2022,_7,_24))",1.0
"y_(46,_datetime.date(2022,_7,_24))",1.0
"y_(47,_datetime.date(2022,_7,_24))",1.0
"y_(48,_datetime.date(2022,_7,_24))",1.0
"y_(49,_datetime.date(2022,_7,_24))",1.0
"y_(5,_datetime.date(2022,_7,_24))",1.0
"y_(50,_datetime.date(2022,_7,_24))",1.0
"y_(51,_datetime.date(2022,_7,_24))",1.0
"y_(52,_datetime.date(2022,_7,_24))",1.0
"y_(53,_datetime.date(2022,_7,_24))",1.0
"y_(54,_datetime.date(2022,_7,_24))",1.0
"y_(55,_datetime.date(2022,_7,_24))",1.0
"y_(56,_datetime.date(2022,_7,_24))",1.0
"y_(57,_datetime.date(2022,_7,_24))",1.0
"y_(58,_datetime.date(2022,_7,_24))",1.0
"y_(59,_datetime.date(2022,_7,_24))",1.0
"y_(6,_datetime.date(2022,_7,_24))",1.0
"y_(60,_datetime.date(2022,_7,_24))",1.0
"y_(61,_datetime.date(2022,_7,_24))",1.0
"y_(62,_datetime.date(2022,_7,_24))",1.0
"y_(63,_datetime.date(2022,_7,_24))",1.0
"y_(64,_datetime.date(2022,_7,_24))",1.0
"y_(65,_datetime.date(2022,_7,_24))",1.0
"y_(66,_datetime.date(2022,_7,_24))",1.0
"y_(67,_datetime.date(2022,_7,_24))",1.0
"y_(68,_datetime.date(2022,_7,_24))",1.0
"y_(69,_datetime.date(2022,_7,_24))",1.0
"y_(7,_datetime.date(2022,_7,_24))",1.0
"y_(70,_datetime.date(2022,_7,_24))",1.0
"y_(71,_datetime.date(2022,_7,_24))",1.0
"y_(72,_datetime.date(2022,_7,_24))",1.0
"y_(73,_datetime.date(2022,_7,_24))",1.0
"y_(74,_datetime.date(2022,_7,_24))",1.0
"y_(75,_datetime.date(2022,_7,_24))",1.0
"y_(76,_datetime.date(2022,_7,_24))",1.0
"y_(77,_datetime.date(2022,_7,_24))",1.0
"y_(78,_datetime.date(2022,_7,_24))",1.0
"y_(79,_datetime.date(2022,_7,_24))",1.0
"y_(8,_datetime.date(2022,_7,_24))",1.0
"y_(80,_datetime.date(2022,_7,_24))",1.0
"y_(81,_datetime.date(2022,_7,_24))",1.0
"y_(82,_datetime.date(2022,_7,_24))",1.0
"y_(85,_datetime.date(2022,_7,_24))",1.0
"y_(9,_datetime.date(2022,_7,_24))",1.0
